,step,reward,total_reward,score
0,46,3.7100470349753003,71.38876987598617,0.01519598376741745
0,47,4.185818291441894,75.57458816742806,0.01610779345683679
0,48,4.602047306232523,80.17663547366058,0.017110271594401504
0,49,5.043636594945708,85.22027206860629,0.018208942486681756
0,50,5.495986688666368,90.71625875727266,0.019406150192972194
0,51,5.297564269485112,96.01382302675776,0.020560134932614174
0,52,3.9628881460240546,99.97671117278182,0.021423383061902907
0,53,2.881974302526122,102.85868547530794,0.02205117239979021
0,54,2.446328375167803,105.30501385047575,0.022584063643669574
0,55,2.251183016096535,107.55619686657228,0.023074445772996548
0,56,2.165066267206908,109.72126313377919,0.023546068825700584
0,57,1.9892904876820683,111.71055362146126,0.023979402099017
0,58,1.689647250711939,113.4002008721732,0.02434746316321795
0,59,1.3428092936520506,114.74301016582525,0.024639971447081487
0,60,1.124711201480389,115.86772136730565,0.02488497075185423
0,61,1.375602731509136,117.24332409881478,0.02518462253127958
0,62,1.580577479069696,118.82390157788448,0.025528924591223346
0,63,1.774143840897175,120.59804541878167,0.02591539180788708
0,64,2.002471213397629,122.60051663217929,0.026351596279278574
0,65,2.2377590905247233,124.83827572270401,0.026839054233556803
0,66,2.410060619422103,127.24833634212611,0.02736404516050888
0,67,2.396586482260916,129.64492282438704,0.027886100974667066
0,68,2.3827410568945107,132.02766388128154,0.02840514079717816
0,69,2.549058566904636,134.5767224481862,0.028960410075100015
0,70,2.488672717859256,137.06539516604545,0.029502525317555026
0,71,2.4329897795575346,139.498384945603,0.03003251097407396
0,72,2.4144016204197114,141.9127865660227,0.030558447514642255
0,73,2.368384459966884,144.28117102598958,0.03107435999543083
0,74,2.4151227491877916,146.69629377517737,0.031600453621699526
0,75,2.383134798357517,149.07942857353487,0.0321195792141261
0,76,2.335796627186999,151.41522520072186,0.032628392986940036
0,77,2.384740857652853,153.7999660583747,0.03314786843220907
0,78,2.357650943453271,156.157617001828,0.03366144279803966
0,79,2.331544300892985,158.48916130272096,0.03416933027352115
0,80,2.282974850567792,160.77213615328876,0.034666637716059774
0,81,2.240184580720899,163.01232073400965,0.035154624022337176
0,82,2.271622090260049,165.2839428242697,0.035649458458135067
0,83,2.3095856624875433,167.59352848675724,0.036152562615787046
0,84,2.2916984118056485,169.88522689856288,0.03665177033853592
0,85,2.1260164428839716,172.01124334144686,0.037114887047746604
0,86,2.0528420856850005,174.06408542713186,0.037562063961374785
0,87,2.0043147383032673,176.06840016543512,0.03799867001347395
0,88,1.9686511024804303,178.03705126791556,0.03842750734594912
0,89,1.9494006787239804,179.98645194663953,0.03885215129933222
0,90,1.9888261713022028,181.97527811794174,0.03928538342918166
0,91,2.047537563982551,184.0228156819243,0.039731404842511156
0,92,2.3078846522946077,186.3307003342189,0.04023413846387423
0,93,2.571221307993573,188.90192164221247,0.04079423551994171
0,94,2.5044785520591613,191.40640019427164,0.041339793795937455
0,95,2.564009164678137,193.97040935894978,0.041898319808615414
0,96,2.5339622422679295,196.5043716012177,0.04245030060764975
0,97,2.65183592122805,199.15620752244575,0.04302795819318557
0,98,2.9910762849992514,202.147283807445,0.043679513551914545
0,99,3.038860244338771,205.18614405178377,0.044341477837665906
0,100,3.037316897363196,208.22346094914695,0.045003105931392555
0,101,2.8299120155347572,211.0533729646817,0.04561955438096917
0,102,2.6668848186465524,213.72025778332826,0.046200490114175506
0,103,2.680664032057351,216.40092181538563,0.04678442741587473
0,104,2.7021615675581003,219.10308338294374,0.047373047591937674
0,105,2.6960297724878592,221.7991131554316,0.04796033206019648
